so joash ^ 392543
then uzziah ^ 393446
so uzziah ^ 393630
then hezekiah ^ 395720
then hezekiah ^ 396138
then hezekiah ^ 397742
then hezekiah ^ 397818
not hezekiah ^ 398621
not hezekiah ^ 398776
then manasseh ^ 399980
then shaphan ^ 401125
up ezra ^ 403758
also cyrus ^ 404047
then darius ^ 407727
then tatnai ^ 408248
whatsoever ezra ^ 409332
then ezra ^ 411817
only jonathan ^ 412190
then eliashib ^ 414124
also shemaiah ^ 415064
now tobiah ^ 415252
also jeshua ^ 419288
also bakbukiah ^ 423460
not solomon ^ 425517
also vashti ^ 426010
so esther ^ 427257
even esther ^ 427348
then mordecai ^ 427387
so hatach ^ 428418
again esther ^ 428557
then mordecai ^ 428673
then esther ^ 428757
so mordecai ^ 428835
so esther ^ 428954
nevertheless haman ^ 429226
now haman ^ 429543
now haman ^ 429629
then esther ^ 430052
then haman ^ 430193
so esther ^ 430513
then esther ^ 432210
then satan ^ 432678
then satan ^ 432747
so satan ^ 432856
then job ^ 433142
not job ^ 433532
then eliphaz ^ 434209
then job ^ 436671
then job ^ 440422
then job ^ 441607
then eliphaz ^ 443450
then job ^ 444036
up silver ^ 445610
now elihu ^ 448374
then job ^ 453002
then job ^ 454027
so job ^ 454540
not put ^ 459197
even sinai ^ 476563
even joseph ^ 491725
not moses ^ 492655
even aaron ^ 502020
not jerusalem ^ 503112
not silver ^ 510924
also silver ^ 525860
even ephraim ^ 540982
not calno ^ 541618
not hamath ^ 541623
not samaria ^ 541628
then rabshakeh ^ 557910
not hezekiah ^ 557950
so rabshakeh ^ 558522
then isaiah ^ 558930
so sennacherib ^ 559543
then hezekiah ^ 559656
again zion ^ 570721
not arise ^ 586718
now pashur ^ 596418
then pashur ^ 596447
forth jeremiah ^ 596491
forth urijah ^ 602812
not put ^ 603161
then hananiah ^ 604149
so hananiah ^ 604413
even israel ^ 606545
then jeremiah ^ 611004
then jeremiah ^ 612662
even elishama ^ 613026
then michaiah ^ 613065
so baruch ^ 613136
so baruch ^ 613171
then baruch ^ 613242
now jeremiah ^ 613929
not put ^ 613943
then pharaoh ^ 613950
then jeremiah ^ 614172
so irijah ^ 614271
then zedekiah ^ 614341
then zedekiah ^ 614507
thus jeremiah ^ 614551
then shephatiah ^ 614562
then zedekiah ^ 614755
so ebedmelech ^ 614988
then zedekiah ^ 615089
then jeremiah ^ 615135
surely put ^ 615151
so zedekiah ^ 615171
not put ^ 615195
not put ^ 615609
so jeremiah ^ 615701
even nergalsharezer ^ 615807
then nebuzaradan ^ 616030
now nebuchadrezzar ^ 616111
so nebuzaradan ^ 616160
even ishmael ^ 616772
then johanan ^ 617082
then ishmael ^ 617589
then jeremiah ^ 618075
so johanan ^ 619010
then jeremiah ^ 620311
even pharaoh ^ 621866
not israel ^ 623022
also edom ^ 624317
then nebuzaradan ^ 629580
so nebuzaradan ^ 630043
thus judah ^ 630085
even jerusalem ^ 636765
thus ezekiel ^ 656431
even pharaoh ^ 663819
even pharaoh ^ 663869
just ephah ^ 677360
thus melzar ^ 681637
then daniel ^ 682257
then arioch ^ 682310
then daniel ^ 682320
then daniel ^ 682348
then daniel ^ 682417
then arioch ^ 682615
then daniel ^ 683547
then nebuchadnezzar ^ 683623
then nebuchadnezzar ^ 684044
then nebuchadnezzar ^ 684464
then nebuchadnezzar ^ 684554
then shadrach ^ 684594
then nebuchadnezzar ^ 684671
then daniel ^ 685484
then daniel ^ 687053
even edom ^ 694318
